total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value,entry_period,exit_period,atr_period,atr_multiplier,risk_percent
72.28322011321805,0.09914547545402681,20.790047714971845,395,57.21518987341773,17228322.011321805,20,10,14,2.0,1.0
66.04713729188218,0.0835631642948292,20.891290900575218,395,57.21518987341773,16604713.729188219,20,10,14,2.0,1.5
63.80210409643355,0.07797938386300146,21.05664855174174,395,57.21518987341773,16380210.409643356,20,10,14,2.0,2.0
63.77438138794502,0.07790997834013513,21.05664855174174,395,57.21518987341773,16377438.138794502,20,10,14,2.0,2.5
63.77438138794502,0.07790997834013513,21.05664855174174,395,57.21518987341773,16377438.138794502,20,10,14,2.0,3.0
49.48915109855639,0.0415156658910213,25.29368493509274,372,54.03225806451613,14948915.109855639,20,10,14,2.5,1.0
43.96130133055208,0.02736648451126086,25.431288734056068,372,54.03225806451613,14396130.133055208,20,10,14,2.5,1.5
42.59272975971598,0.023788041561515025,25.58721723415246,372,54.03225806451613,14259272.975971598,20,10,14,2.5,2.0
42.56639054163801,0.023719128080541458,25.58721723415246,372,54.03225806451613,14256639.0541638,20,10,14,2.5,2.5
42.56639054163801,0.023719128080541458,25.58721723415246,372,54.03225806451613,14256639.0541638,20,10,14,2.5,3.0
141.0672611104949,0.23358692719047755,21.731097077125625,342,52.63157894736842,24106726.111049492,20,10,14,3.0,1.0
132.39988462541572,0.21504317043832705,22.543003888714402,342,52.63157894736842,23239988.462541573,20,10,14,3.0,1.5
128.67121628885977,0.2082887758773992,23.626884891035516,342,52.63157894736842,22867121.628885977,20,10,14,3.0,2.0
128.63067974852217,0.20821127575936577,23.63950029727345,342,52.63157894736842,22863067.974852215,20,10,14,3.0,2.5
128.63067974852217,0.20821127575936577,23.63950029727345,342,52.63157894736842,22863067.974852215,20,10,14,3.0,3.0
109.5054193036722,0.18311991973289857,20.45380344604627,324,48.45679012345679,20950541.93036722,20,10,14,3.5,1.0
98.82753898063201,0.16080613418570297,21.47097393957501,324,48.45679012345679,19882753.8980632,20,10,14,3.5,1.5
94.54034244295173,0.15106778857082367,23.163277241870126,324,48.45679012345679,19454034.244295172,20,10,14,3.5,2.0
94.50659142571982,0.15098862061110424,23.175992872050713,324,48.45679012345679,19450659.142571982,20,10,14,3.5,2.5
94.50659142571982,0.15098862061110424,23.175992872050713,324,48.45679012345679,19450659.142571982,20,10,14,3.5,3.0
92.1850057834921,0.13385453461875327,25.576853843749074,314,46.17834394904459,19218500.57834921,20,10,14,4.0,1.0
88.5461983282153,0.12591428483989117,26.01565079627137,314,46.17834394904459,18854619.83282153,20,10,14,4.0,1.5
84.48055951276035,0.11795724526009463,26.01565079627137,314,46.17834394904459,18448055.951276034,20,10,14,4.0,2.0
84.44998654087227,0.11789645096161787,26.01565079627137,314,46.17834394904459,18444998.654087227,20,10,14,4.0,2.5
84.44998654087227,0.11789645096161787,26.01565079627137,314,46.17834394904459,18444998.654087227,20,10,14,4.0,3.0
90.62365413414408,0.13186134992445242,27.272047560660035,294,43.53741496598639,19062365.413414408,20,10,14,5.0,1.0
80.39982991833008,0.11222504026605759,26.551781102450217,294,43.53741496598639,18039982.99183301,20,10,14,5.0,1.5
76.46133786755715,0.10419509408438087,26.551781102450217,294,43.53741496598639,17646133.786755715,20,10,14,5.0,2.0
76.43256335807708,0.10413552582752146,26.551781102450217,294,43.53741496598639,17643256.335807707,20,10,14,5.0,2.5
76.43256335807708,0.10413552582752146,26.551781102450217,294,43.53741496598639,17643256.335807707,20,10,14,5.0,3.0
91.11541493568774,0.14254442304846568,20.739545745286946,397,57.43073047858942,19111541.493568774,20,10,20,2.0,1.0
86.23471629804756,0.13090523411803714,21.513928390980176,397,57.43073047858942,18623471.629804756,20,10,20,2.0,1.5
84.4799200529259,0.1271555503732687,21.513928390980176,397,57.43073047858942,18447992.00529259,20,10,20,2.0,2.0
84.40204294496473,0.1269858913113817,21.513928390980176,397,57.43073047858942,18440204.294496473,20,10,20,2.0,2.5
84.40204294496473,0.1269858913113817,21.513928390980176,397,57.43073047858942,18440204.294496473,20,10,20,2.0,3.0
63.756789737442155,0.07704310139821746,22.889346130569795,373,54.6916890080429,16375678.973744215,20,10,20,2.5,1.0
57.59565809613086,0.06235792779020536,25.11201468337022,373,54.6916890080429,15759565.809613086,20,10,20,2.5,1.5
56.33748977359111,0.059407488832572984,25.710131941354042,373,54.6916890080429,15633748.97735911,20,10,20,2.5,2.0
56.26889119507397,0.059246493368877544,25.742007330349796,373,54.6916890080429,15626889.119507397,20,10,20,2.5,2.5
56.26889119507397,0.059246493368877544,25.742007330349796,373,54.6916890080429,15626889.119507397,20,10,20,2.5,3.0
136.73119216995678,0.21196616875538168,20.722028012138743,342,53.80116959064327,23673119.21699568,20,10,20,3.0,1.0
127.57066632858005,0.19463682529227025,22.34332796501389,342,53.80116959064327,22757066.632858004,20,10,20,3.0,1.5
123.87047861482236,0.1883899517275145,23.607094102800623,342,53.80116959064327,22387047.861482237,20,10,20,3.0,2.0
123.77450578170284,0.18822256786466143,23.639328871934637,342,53.80116959064327,22377450.578170285,20,10,20,3.0,2.5
123.77450578170284,0.18822256786466143,23.639328871934637,342,53.80116959064327,22377450.578170285,20,10,20,3.0,3.0
98.56990930366545,0.16674066039858482,20.45382960535912,322,48.75776397515528,19856990.930366546,20,10,20,3.5,1.0
87.6656816419964,0.14311603589417163,21.471560899192554,322,48.75776397515528,18766568.16419964,20,10,20,3.5,1.5
84.70497270802021,0.13569928405054246,21.471785874385414,322,48.75776397515528,18470497.27080202,20,10,20,3.5,2.0
